Field_Id,Area,Subregion_3.0,Subregion_1.0,Subregion_4.0,Subregion_2.0,Subregion_5.0,Subregion_6.0,Subregion_0.0,Subregion_7.0,lat,lon,Area_0,Area_1,Area_2,Area_3,Area_4,Area_5,Area_6,Area_7,Area_8,Area_9,distance_0,distance_1,distance_2,distance_3,distance_4,distance_5,distance_6,distance_7,distance_8,distance_9,Cotton,Dates,Grass,Lucern,Maize,Pecan,Vacant,Vineyard,"Vineyard & Pecan (""Intercrop"")",nn_count
1,-0.5550883542421631,1,0,0,0,0,0,0,0,1.7869255985112962,-1.673175241677782,1.0803,0.774865,1.81556,4.62284,2.06441,5.82118,1.31619,1.59031,2.03598,1.43812,2.3739896224153405,1.5661963069098424,1.4209765841796218,1.6622174825016713,1.2966339868183132,1.1203204977487364,1.0331864711815606,1.2480389324059027,1.0603204566701168,0.9547585737754406,1.0899750993236865,-0.36496299890627465,-0.4509458333806824,-0.46518324361681584,-0.6203195514012328,1.33000560023385,-0.7098685133266004,4,0.9748010514158836,8
2,-0.11268388434147686,1,0,0,0,0,0,0,0,1.8088275780959315,-1.6665274411829887,1.81556,1.43812,1.31619,4.62284,1.0803,5.52922,1.48271,0.774865,2.03598,0.915905,-0.31826073800431104,0.050435077596015745,-0.12927013083747424,-0.2315699919693618,-0.04713251745591992,-0.1786807802476958,-0.015508837431817567,0.08359394621680473,0.32053238639646997,0.21170993140188085,-0.38174365530785703,-0.36496299890627465,-0.4509458333806824,-0.46518324361681584,-0.6203195514012328,0.4263716751301551,-0.7098685133266004,7,0.9748010514158836,13
3,-0.49176335101681934,1,0,0,0,0,0,0,0,1.8011118326878715,-1.6761187553129664,1.81556,1.31619,2.06441,5.82118,0.915905,4.62284,0.774865,1.43812,1.59031,5.52922,0.9714358391646515,0.7145240425570454,0.4996357581329072,0.21327924704967355,0.15646143355806238,0.5269172305037115,0.4619301475146141,0.3297710162079976,0.5333595903258009,0.4882371407545363,1.0899750993236865,-0.36496299890627465,-0.4509458333806824,-0.46518324361681584,-0.6203195514012328,1.33000560023385,-0.7098685133266004,4,0.9748010514158836,10
4,-0.4008984523834892,1,0,0,0,0,0,0,0,1.8126670124227828,-1.674298114365319,2.06441,1.81556,1.0803,1.43812,5.82118,4.62284,5.52922,1.48271,0.915905,0.774865,0.9540496359194003,0.48691145712198025,0.2787543957931163,0.28392440536456515,0.3938901154858267,0.5537823776210169,0.541290788400615,0.41303312116076024,0.6140591445047494,0.52893693516205,0.35411572200791475,-0.36496299890627465,-0.4509458333806824,-0.46518324361681584,-0.6203195514012328,1.33000560023385,-0.7098685133266004,5,0.9748010514158836,10
7,1.2219619651381477,1,0,0,0,0,0,0,0,1.8128102899228793,-1.6547732032867444,1.48271,1.43812,4.62284,2.06441,1.01882,2.43183,2.03598,1.81556,1.31619,0.774865,0.25823627358584156,0.08351862008424471,0.04005427259952559,0.25626254538394544,0.23409023677218738,0.026828298048794687,-0.09062989802624016,-0.12362319711411358,0.1883380107426036,0.075598531744521,-0.38174365530785703,-0.36496299890627465,-0.4509458333806824,-0.46518324361681584,-0.6203195514012328,1.33000560023385,-0.7098685133266004,6,0.9748010514158836,12
8,-0.33675489852184975,1,0,0,0,0,0,0,0,1.8195608405390729,-1.6552340209623875,5.52922,1.43812,1.01882,2.06441,4.62284,1.81556,2.43183,1.31619,2.03598,0.565466,0.25823627358584156,0.06075584080667244,0.8911642699230585,0.6893809430801712,0.4294081146293505,0.6933918026342432,0.47182340142144225,0.41303312116076024,0.2510846268194502,0.6505581082147315,-0.38174365530785703,-0.36496299890627465,-0.4509458333806824,-0.46518324361681584,-0.6203195514012328,0.4263716751301551,-0.7098685133266004,7,0.9748010514158836,10
9,0.8728241177377586,1,0,0,0,0,0,0,0,1.8033974139079212,-1.6586459549452688,2.06441,5.52922,1.81556,0.774865,2.03598,1.43812,2.43183,1.48271,0.565466,1.0803,1.188525662563799,0.4329395551474469,0.056766400551740516,-0.018227500133948613,-0.09365878259636717,-0.24364093749000773,-0.16191048355909024,-0.1444293632204015,-0.040777152337402846,-0.1365833200466942,-0.38174365530785703,-0.36496299890627465,-0.4509458333806824,-0.46518324361681584,-0.6203195514012328,1.33000560023385,-0.7098685133266004,6,0.9748010514158836,14
11,-0.515445465425981,1,0,0,0,0,0,0,0,1.8168484755805814,-1.6414460099556818,1.79607,5.52922,2.43183,1.48271,2.03598,1.7569,0.565466,2.65521,1.43812,4.62284,2.035084299654668,1.3974026463866256,0.8667769056344543,0.5342116650210091,0.7513463995301015,0.5595224584018516,0.5991126854388447,0.4476674825837986,0.314814400929266,0.21639116069120637,-0.38174365530785703,-0.36496299890627465,-0.4509458333806824,-0.46518324361681584,-0.6203195514012328,-0.4772622499735399,-0.7098685133266004,9,-0.38004034969901734,11
12,-0.21604853269141885,1,0,0,0,0,0,0,0,1.811108063360192,-1.6304775841864807,1.7569,1.01882,1.50796,3.17541,1.1812,2.65521,2.43183,0.158009,1.05901,0.565466,0.6872342749032946,1.0307824614162473,0.6339932179325708,0.5610612146136802,0.30831213193827833,0.18540975060531673,0.18590115025228393,0.11999224361316387,-0.0009296505659009979,0.03690465816212902,-0.38174365530785703,-0.36496299890627465,-0.4509458333806824,-0.9653996973507366,-0.6203195514012328,1.33000560023385,-0.7098685133266004,8,-0.38004034969901734,13
13,-0.23113682842022276,1,0,0,0,0,0,0,0,1.8029345269320496,-1.628934972304745,1.1812,1.79607,3.17541,1.50796,2.65521,1.05901,0.158009,0.565466,2.43183,1.46237,0.4289915569625138,0.03633821130904949,-0.2430567220635525,-0.3697982459431,-0.4239948197102538,-0.47090132273711993,-0.5429485907583054,-0.0653458972708859,-0.1823802929829409,-0.27264921701956063,-0.38174365530785703,-0.36496299890627465,-0.4509458333806824,-0.9653996973507366,-0.6203195514012328,1.33000560023385,-0.7098685133266004,8,-0.38004034969901734,14
14,-0.4484591333545235,1,0,0,0,0,0,0,0,1.7213677369487346,-1.539541693324964,0.344734,1.44488,3.07671,2.24256,3.12746,1.30416,0.916049,3.35724,2.0341,1.93706,-0.4447784511726892,0.500886879403486,0.5360305620643662,0.23893974678126026,0.10656644495140613,0.7077747322653802,0.5067365377398224,1.0118161693585541,0.8409492396974417,0.7049150023077925,-0.38174365530785703,-0.36496299890627465,-0.4509458333806824,-0.46518324361681584,0.5783446672115435,-0.4772622499735399,-0.7098685133266004,1,7.749008056990387,8
15,-0.7751035944698023,1,0,0,0,0,0,0,0,1.7188858874030155,-1.5364614071232907,1.19272,2.24256,3.07671,3.12746,1.44488,3.35724,2.0341,1.93706,1.30416,0.916049,-0.4447784511726892,0.20290664734556646,-0.15010398653989723,-0.21336713991037398,0.19632317749269806,1.0636619573479722,0.8299937313579857,0.6574773155054137,0.5154522538589053,0.40743841752535315,-0.38174365530785703,-0.36496299890627465,-0.4509458333806824,-0.46518324361681584,0.5783446672115435,-0.4772622499735399,0.07824202050693987,1,6.394166655875487,11
